"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.auto.created","ddg.time","ddg.duration","ddg.snum","ddg.lnum"
"Start",1,"coerce_bugged.R","coerce_bugged.R",FALSE,FALSE,2.886,0,0,NA
"Operation",2,"for (i in 1:2) {    assign(paste0(""x"", i), matrix(sample(1:1","for (i in 1:2) {    assign(paste0(""x"", i), matrix(sample(1:1",FALSE,FALSE,2.892,0.00599999999999934,0,"1"
"Operation",3,"tryCatch","tryCatch",FALSE,FALSE,2.895,0.00300000000000011,0,"1"
