"minute","x","Control","A","B","w","n","a"
50,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
51,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
52,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
53,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
54,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
55,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
56,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
57,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
58,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
59,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
60,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
61,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
62,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
63,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
64,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
65,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
66,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
67,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
68,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
69,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
70,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
71,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
72,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
73,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
74,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
75,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
76,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
77,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
78,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
79,7.55019638193214,7.55019638193214,7.55019638193214,0,0,0,1.00669285092428
